"fit_key","model_index","response_index","response_var","spec_index","spec_code","domain","gamma"
"best_fit_1a",1,1,"F1_Direct",1,"a","IE052",0.0254730939611631
"best_fit_1a",1,1,"F1_Direct",1,"a","IE053",0.0320099400757287
"best_fit_1a",1,1,"F1_Direct",1,"a","IE061",0.066397169413104
"best_fit_1a",1,1,"F1_Direct",1,"a","IE062",0.0244921655552925
"best_fit_1a",1,1,"F1_Direct",1,"a","IE063",0.0242331515255393
"best_fit_1a",1,1,"F1_Direct",1,"a","ITC",0.119188183383022
"best_fit_1a",1,1,"F1_Direct",1,"a","ITF",0.0804427974429008
"best_fit_1a",1,1,"F1_Direct",1,"a","ITG",0.0420518331143987
"best_fit_1a",1,1,"F1_Direct",1,"a","ITH",0.0741577538502929
"best_fit_1a",1,1,"F1_Direct",1,"a","ITI",0.068399275062796
"best_fit_1a",1,1,"F1_Direct",1,"a","NL11",0.00795489805188276
"best_fit_1a",1,1,"F1_Direct",1,"a","NL12",0.0133107651543492
"best_fit_1a",1,1,"F1_Direct",1,"a","NL13",0.0107383258179577
"best_fit_1a",1,1,"F1_Direct",1,"a","NL21",0.0243111517306754
"best_fit_1a",1,1,"F1_Direct",1,"a","NL22",0.0378247021748619
"best_fit_1a",1,1,"F1_Direct",1,"a","NL23",0.00733754413547311
"best_fit_1a",1,1,"F1_Direct",1,"a","NL32",0.0424481565998561
"best_fit_1a",1,1,"F1_Direct",1,"a","NL34",0.00808320887121122
"best_fit_1a",1,1,"F1_Direct",1,"a","NL41",0.0375860663662404
"best_fit_1a",1,1,"F1_Direct",1,"a","NL42",0.0194508363509212
"best_fit_1a",1,1,"F1_Direct",1,"a","NO02",0.0157468060206306
"best_fit_1a",1,1,"F1_Direct",1,"a","NO06",0.0239243805301685
"best_fit_1a",1,1,"F1_Direct",1,"a","NO07",0.0184459663161657
"best_fit_1a",1,1,"F1_Direct",1,"a","NO08",0.0751356944266052
"best_fit_1a",1,1,"F1_Direct",1,"a","NO09",0.0376854451912823
"best_fit_1a",1,1,"F1_Direct",1,"a","NO0A",0.0574225112643928
"best_fit_1a",1,1,"F1_Direct",1,"a","PL21",0.0171153082399025
"best_fit_1a",1,1,"F1_Direct",1,"a","PL22",0.0233931952079085
"best_fit_1a",1,1,"F1_Direct",1,"a","PL41",0.0168410020220177
"best_fit_1a",1,1,"F1_Direct",1,"a","PL42",0.00685169629758415
"best_fit_1a",1,1,"F1_Direct",1,"a","PL43",0.00472736842588622
"best_fit_1a",1,1,"F1_Direct",1,"a","PL51",0.014355935555434
"best_fit_1a",1,1,"F1_Direct",1,"a","PL52",0.00593022156001868
"best_fit_1a",1,1,"F1_Direct",1,"a","PL61",0.00867755126946276
"best_fit_1a",1,1,"F1_Direct",1,"a","PL62",0.0046256092469805
"best_fit_1a",1,1,"F1_Direct",1,"a","PL63",0.0135668043649248
"best_fit_1a",1,1,"F1_Direct",1,"a","PL71",0.0205848273310558
"best_fit_1a",1,1,"F1_Direct",1,"a","PL72",0.00853241414975981
"best_fit_1a",1,1,"F1_Direct",1,"a","PL81",0.00757630602936134
"best_fit_1a",1,1,"F1_Direct",1,"a","PL84",0.00696123371961726
"best_fit_1a",1,1,"F1_Direct",1,"a","PL91",0.0185682927008398
"best_fit_1a",1,1,"F1_Direct",1,"a","PL92",0.0126839582505169
"best_fit_1a",1,1,"F1_Direct",1,"a","PT11",0.0492473508944033
"best_fit_1a",1,1,"F1_Direct",1,"a","PT15",0.00813739839678088
"best_fit_1a",1,1,"F1_Direct",1,"a","SE11",0.0405814294276264
"best_fit_1a",1,1,"F1_Direct",1,"a","SE12",0.0324850202132517
"best_fit_1a",1,1,"F1_Direct",1,"a","SE21",0.0167885443484255
"best_fit_1a",1,1,"F1_Direct",1,"a","SE22",0.0320301730889965
"best_fit_1a",1,1,"F1_Direct",1,"a","SE23",0.0436825587862638
"best_fit_1a",1,1,"F1_Direct",1,"a","SE31",0.0178981169952171
"best_fit_1a",1,1,"F1_Direct",1,"a","SE32",0.00862370917667703
"best_fit_1a",1,1,"F1_Direct",1,"a","SE33",0.0187632014493764
"best_fit_1a",1,1,"F1_Direct",1,"a","SI031",0.0121380320657016
"best_fit_1a",1,1,"F1_Direct",1,"a","SI032",0.0274084382112994
"best_fit_1a",1,1,"F1_Direct",1,"a","SI033",0.00546731556954972
