"fit_key","model_index","response_index","spec_index","spec_code","term","coefficients","std.error","t.value","p.value"
"best_fit_5a",17,5,1,"a","POVERTY_RATE",-0.00227754844294113,0.000615017712599223,-3.70322414506669,0.000212876638318774
"best_fit_5a",17,5,1,"a","ICCS0401_ROBBERY_RATE",-0.033995362087019,0.0154687084704027,-2.19768587352102,0.0279714989196608
"best_fit_5a",17,5,1,"a","ICCS0502_THEFT_RATE",0.000836772357279787,0.000285303869045561,2.93291626250663,0.00335794445774929
"best_fit_5b",18,5,2,"b","university_count_per_1k_inhab",1.42394668864343,0.432996295769925,3.2885886150861,0.00100691081238268
"best_fit_5b",18,5,2,"b","school_count_per_1k_inhab",0.710846717205015,0.0555415703500449,12.7984627140533,1.67228943751883e-37
"best_fit_5b",18,5,2,"b","college_count_per_1k_inhab",3.87122066446892,0.903269259579522,4.28578812288043,1.82092475350861e-05
"best_fit_5b",18,5,2,"b","kindergarten_count_per_1k_inhab",0.653622010524205,0.0808104291371754,8.08833732852333,6.04846983568579e-16
"best_fit_5b",18,5,2,"b","library_count_per_1k_inhab",-1.38183992263176,0.649232804652377,-2.12841974824677,0.0333022972269095
"best_fit_5b",18,5,2,"b","social_facility_count_per_1k_inhab",-0.942265561088604,0.180385985321458,-5.22360736289703,1.7547064797611e-07
"best_fit_5b",18,5,2,"b","doctors_count_per_1k_inhab",1.13469737909572,0.369210542827798,3.07330709032582,0.00211700511844582
"best_fit_5b",18,5,2,"b","marketplace_count_per_1k_inhab",2.76940198290704,0.589556032057466,4.69743643066839,2.6344713916232e-06
"best_fit_5b",18,5,2,"b","shower_count_per_1k_inhab",0.355037610078288,0.175065229326707,2.02803041725502,0.0425571436809258
"best_fit_5b",18,5,2,"b","social_centre_count_per_1k_inhab",4.34425044447633,2.14034489990779,2.02969644969999,0.0423874040145187
"best_fit_5c",19,5,3,"c","POPDENSITY",1.80132914715913e-05,7.00759619548099e-06,2.57053788047998,0.0101540721202343
"best_fit_5c",19,5,3,"c","FEMALE_RATE",0.0126785169015667,0.000836408973639448,15.1582746014774,6.68012516776716e-52
"best_fit_5c",19,5,3,"c","RATE_Y60_79",-0.00681807706620649,0.00177292149675099,-3.84567341458779,0.000120221802491637
"best_fit_5c",19,5,3,"c","POVERTY_RATE",-0.00195292367561954,0.00060132240348403,-3.24771481039855,0.00116335811771112
"best_fit_5c",19,5,3,"c","ICCS0401_ROBBERY_RATE",-0.0373517014634797,0.0156913427726895,-2.38040185627005,0.0172937670777366
"best_fit_5c",19,5,3,"c","ICCS0502_THEFT_RATE",0.000897715380187486,0.000279274486924437,3.21445539144569,0.00130692219958412
"best_fit_5c",19,5,3,"c","school_count_per_1k_inhab",0.081290347803138,0.0323887704198269,2.50983123932905,0.0120788871990989
"best_fit_5c",19,5,3,"c","library_count_per_1k_inhab",-0.806672099244559,0.260221689258991,-3.09994182860639,0.00193558653154224
"best_fit_5n",20,5,4,"n","(Intercept)",0.471606254601132,0.00470296620436105,100.278469822686,0
