region,regunit,dweight,pweight,ppltrst,pplfair,pplhlp,sclmeet,inprdsc,sclact,imbgeco,imueclt,imwbcnt,trstprl,trstlgl,trstplt,trstprt,stfgov,stfdem,stfedu,stfhlth,unique_id,nuts1,nuts2,nuts3,F1W,F2W,F3W,F4W,F5W,F1W_scaled,F2W_scaled,F3W_scaled,F4W_scaled,F5W_scaled
SK041,3,0.45765516,0.3159043,9,8,8,5,1,2,5,10,0,3,8,5,5,4,4,8,5,SK66315,SK0,SK04,SK041,3.284,-0.073,1.158,1.086,0.844,0.8153015301530153,0.4960560911481157,0.6039936384520234,0.5398850161696012,0.5533160491762148
SK031,3,1.1965983,0.3159043,2,3,3,2,1,2,1,2,2,5,5,6,4,3,5,3,3,SK66361,SK0,SK03,SK031,-1.369,-0.93,-1.433,1.217,-0.088,0.3964896489648965,0.30828220858895705,0.375066266124757,0.5516528925619834,0.47537007610604665
SK031,3,0.8556944,0.3159043,8,10,7,5,1,3,3,4,6,8,10,9,9,9,9,9,7,SK66386,SK0,SK03,SK031,3.739,0.371,1.186,4.666,4.747,0.8562556255625563,0.5933391761612621,0.6064675737762856,0.8614804168163851,0.8797357196621226
SK032,3,0.5951834,0.3159043,2,5,1,6,2,2,2,0,0,0,2,2,1,5,3,3,0,SK66429,SK0,SK03,SK032,-1.373,-0.074,-2.473,-1.802,-1.179,0.3961296129612961,0.49583698510078883,0.2831772397950168,0.28045274883219545,0.3841264531236932
SK032,3,1.7855504,0.3159043,0,1,2,7,3,3,4,1,1,0,1,1,2,0,1,4,3,SK66457,SK0,SK03,SK032,-2.825,0.652,-1.548,-2.133,-2.792,0.2654365436543654,0.6549079754601228,0.36490546032868,0.2507186489399928,0.24922639458058043
SK023,3,1.3127818,0.3159043,9,8,7,4,1,3,0,0,0,8,8,2,2,0,8,7,1,SK66534,SK0,SK02,SK023,2.78,0.04,-2.673,-0.619,-0.273,0.76993699369937,0.5208150744960561,0.2655062731931437,0.3867229608336328,0.45989796771765495
SK032,3,0.53110397,0.3159043,0,0,1,6,2,1,0,0,0,0,4,0,0,0,0,8,4,SK66542,SK0,SK03,SK032,-3.558,-0.622,-3.012,-3.105,-2.81,0.19945994599459949,0.3757668711656442,0.2355539848029687,0.163402802730866,0.24772100025089905
SK031,3,2.3341925,0.3159043,6,3,4,6,1,2,3,5,3,4,6,5,5,3,5,7,3,SK66602,SK0,SK03,SK031,0.177,-0.053,0.214,1.069,0.397,0.5356435643564357,0.5004382120946539,0.5205866760911823,0.5383578871721164,0.5159320899891278
SK041,3,0.9201766,0.3159043,10,10,10,5,1,2,3,10,0,5,10,5,7,9,7,9,6,SK66631,SK0,SK04,SK041,4.667,-0.033,0.898,2.095,3.494,0.9397839783978398,0.504820333041192,0.5810213818695883,0.6305246137261947,0.7749435477126368
SK041,3,1.5651748,0.3159043,2,4,4,5,2,3,7,5,5,3,5,2,3,2,3,6,2,SK66671,SK0,SK04,SK041,-0.778,0.312,1.545,-0.951,-1.126,0.44968496849684975,0.5804119193689746,0.6381869588266478,0.356899029823931,0.3885590030944217
SK022,3,1.2063023,0.3159043,5,5,2,7,1,2,0,0,0,0,0,0,2,1,0,2,0,SK66672,SK0,SK02,SK022,-0.431,0.036,-2.882,-2.569,-3.344,0.48091809180918094,0.5199386503067485,0.24704011309418625,0.21155228171038448,0.20306096847035213
SK023,3,1.8214949,0.3159043,4,6,4,4,3,3,5,3,5,4,6,6,5,6,6,3,3,SK66674,SK0,SK02,SK023,0.542,0.29,0.731,1.574,1.186,0.5684968496849685,0.5755915863277827,0.5662661247570242,0.5837226015091627,0.5819185414401605
SK032,3,0.20789143,0.3159043,6,4,5,4,1,2,0,0,1,2,5,3,3,3,2,5,2,SK66684,SK0,SK03,SK032,0.32,-0.498,-2.482,-0.65,-1.211,0.5485148514851486,0.4029360210341806,0.2823820462979325,0.3839381961911606,0.381450196537593
SK021,3,1.2064981,0.3159043,3,4,3,2,2,3,3,3,6,3,4,4,4,3,4,4,3,SK66694,SK0,SK02,SK021,-0.705,-0.284,0.543,0.199,-0.436,0.4562556255625563,0.44982471516213857,0.5496554161512635,0.4602048149478979,0.4462657857322071
SK032,3,0.22173354,0.3159043,7,8,7,6,2,1,0,0,0,7,9,9,9,8,5,7,2,SK66748,SK0,SK03,SK032,2.536,-0.312,-2.566,4.293,2.509,0.747974797479748,0.44368974583698517,0.2749602403251458,0.8279734099892202,0.6925650246717404
SK022,3,0.53108376,0.3159043,4,6,2,7,1,1,0,1,1,0,3,2,5,0,1,1,1,SK66832,SK0,SK02,SK022,-0.352,-0.369,-2.263,-0.908,-2.912,0.48802880288028805,0.4312007011393515,0.3017317547269836,0.36076176787639236,0.2391904323827047
SK032,3,0.22173354,0.3159043,1,2,0,7,1,3,3,0,0,7,3,2,2,3,4,5,3,SK66856,SK0,SK03,SK032,-2.569,0.37,-2.281,-0.86,-0.758,0.2884788478847885,0.5931200701139352,0.30014136773281497,0.36507366151634923,0.4193359538345739
SK022,3,0.53108376,0.3159043,2,6,4,7,0,2,0,3,0,1,4,1,3,0,0,1,0,SK66936,SK0,SK02,SK022,-0.573,-0.073,-2.043,-1.815,-3.509,0.4681368136813682,0.4960560911481157,0.321169817989044,0.27928494430470713,0.189261520448273
SK023,3,1.0851469,0.3159043,2,2,1,3,1,3,5,3,4,10,0,3,0,7,0,5,1,SK66938,SK0,SK02,SK023,-2.019,-0.3,0.222,-0.668,-0.739,0.337983798379838,0.44631901840490806,0.5212935147552572,0.38232123607617674,0.4209249811825709
SK032,3,1.0656875,0.3159043,1,2,0,6,3,3,0,2,0,0,0,4,4,5,0,5,0,SK66969,SK0,SK03,SK032,-2.549,0.454,-2.298,-0.226,-1.371,0.2902790279027903,0.6115249780893953,0.2986393355716558,0.4220265900107797,0.36806891360709204
SK023,3,1.2726582,0.3159043,4,6,3,7,2,2,8,8,5,0,3,0,2,0,5,3,3,SK67044,SK0,SK02,SK023,0.118,0.326,2.579,-2.354,-1.696,0.5303330333033304,0.5834794040315513,0.7295458561583319,0.23086597197269135,0.34088818265451204
SK023,3,0.97513837,0.3159043,8,8,8,2,1,1,0,0,0,2,5,1,2,0,0,5,0,SK67049,SK0,SK02,SK023,2.374,-1.216,-2.82,-1.887,-2.989,0.7333933393339334,0.2456178790534619,0.25251811274076696,0.2728171038447718,0.23275068997240111
SK032,3,1.7855504,0.3159043,1,2,3,6,2,2,3,0,0,3,3,1,3,1,3,3,2,SK67135,SK0,SK03,SK032,-2.114,-0.095,-2.323,-1.507,-2.025,0.3294329432943295,0.49123575810692377,0.29643046474642165,0.3069529284944305,0.3133729196286694
SK023,3,1.0844933,0.3159043,5,5,5,6,3,4,4,3,3,0,0,0,1,3,2,3,3,SK67138,SK0,SK02,SK023,0.45,1.075,-0.199,-2.636,-1.816,0.5602160216021602,0.747589833479404,0.4840961300583142,0.20553359683794467,0.3308522204566363
SK022,3,1.1013317,0.3159043,3,3,0,6,2,5,7,5,6,5,6,3,3,7,8,2,2,SK67229,SK0,SK02,SK022,-1.283,1.34,1.96,-0.105,1.292,0.4042304230423042,0.8056529360210343,0.6748542145255345,0.432896155228171,0.5907836413816174
SK041,3,1.5122722,0.3159043,10,6,8,6,0,3,3,2,4,2,8,4,6,6,3,8,7,SK67239,SK0,SK04,SK041,3.005,0.365,-0.176,0.869,1.205,0.7901890189018902,0.5920245398773006,0.4861282912175296,0.5203916636722961,0.5835075687881576
SK032,3,0.41971543,0.3159043,4,3,4,1,0,1,4,3,5,0,3,0,0,2,3,7,3,SK67243,SK0,SK03,SK032,-0.855,-1.635,0.289,-2.897,-1.429,0.4427542754275428,0.1538124452234882,0.5272132885668845,0.18208767517067914,0.36321819854478543
SK042,3,0.8356722,0.3159043,3,7,2,6,4,3,0,0,0,3,6,0,0,0,0,6,7,SK67245,SK0,SK04,SK042,-0.372,0.669,-2.837,-2.729,-2.567,0.48622862286228624,0.6586327782646801,0.25101608057960767,0.1971793029105282,0.2680438237015974
SK022,3,1.0657024,0.3159043,0,2,2,1,0,1,5,0,0,3,2,7,3,6,4,6,4,SK67325,SK0,SK02,SK022,-2.501,-1.765,-1.917,1.248,0.871,0.2945994599459946,0.12532865907099042,0.3323025269482241,0.5544376572044556,0.5555741406707368
SK041,3,1.2741442,0.3159043,1,2,0,2,1,1,0,2,0,7,7,7,8,8,7,5,4,SK67340,SK0,SK04,SK041,-2.419,-1.449,-2.238,3.111,2.559,0.30198019801980197,0.19456617002629276,0.30394062555221774,0.721793029105282,0.6967466755875219
SK021,3,0.62383014,0.3159043,2,3,4,3,1,3,2,2,2,5,5,5,5,4,5,5,5,SK67360,SK0,SK02,SK021,-1.073,-0.292,-1.189,1.147,0.581,0.4231323132313232,0.4480718667835233,0.39662484537904225,0.5453647143370464,0.5313205653592038
SK022,3,0.66966426,0.3159043,7,6,4,6,3,3,6,6,5,7,8,7,7,6,8,7,2,SK67430,SK0,SK02,SK022,1.646,0.754,1.872,2.956,2.474,0.667866786678668,0.6772567922874672,0.6670789892207104,0.7078692058929212,0.6896378690306934
SK023,3,1.8009957,0.3159043,6,6,6,4,3,3,5,5,5,3,4,3,2,2,3,5,3,SK67438,SK0,SK02,SK023,1.34,0.346,1.24,-0.753,-1.031,0.6403240324032403,0.5878615249780894,0.6112387347587913,0.3746855910887531,0.39650413983440663
SK021,3,1.5610737,0.3159043,8,10,10,6,2,2,0,0,0,0,2,0,0,0,0,4,0,SK67452,SK0,SK02,SK021,3.392,0.161,-2.751,-3.025,-3.388,0.8250225022502251,0.5473269062226118,0.25861459621841315,0.17058929213079413,0.19938111566446434
SK023,3,1.0995532,0.3159043,4,5,6,6,3,3,4,4,5,5,4,4,5,5,4,4,5,SK67491,SK0,SK02,SK023,0.633,0.68,0.812,0.776,0.482,0.5766876687668767,0.6610429447852761,0.5734228662307829,0.5120373697448796,0.5230408965459563
